GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TPB 3,com.mycompany.myapp.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
TPB 3,com.mycompany.myapp.security.jwt,TokenProvider,10,212,2,4,1,53,2,6,0,5
TPB 3,com.mycompany.myapp.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
TPB 3,com.mycompany.myapp.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
TPB 3,com.mycompany.myapp.domain,User,70,83,8,0,17,33,14,20,10,20
TPB 3,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.domain,Authority,21,14,4,0,6,5,4,4,2,4
TPB 3,com.mycompany.myapp,Tpb3App,147,0,10,0,34,0,11,0,6,0
TPB 3,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
TPB 3,com.mycompany.myapp.management,SecurityMetersService,0,57,0,0,0,19,0,6,0,6
TPB 3,com.mycompany.myapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,MailService,181,0,2,0,42,0,7,0,6,0
TPB 3,com.mycompany.myapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.service,UserService,561,0,20,0,161,0,38,0,28,0
TPB 3,com.mycompany.myapp.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
TPB 3,com.mycompany.myapp.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
TPB 3,com.mycompany.myapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
TPB 3,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
TPB 3,com.mycompany.myapp.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
TPB 3,com.mycompany.myapp.config,CRLFLogConverter,127,0,12,0,23,0,11,0,5,0
TPB 3,com.mycompany.myapp.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
TPB 3,com.mycompany.myapp.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.config,WebConfigurer,29,106,8,6,6,28,7,6,1,5
TPB 3,com.mycompany.myapp.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
TPB 3,com.mycompany.myapp.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
TPB 3,com.mycompany.myapp.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
TPB 3,com.mycompany.myapp.config,StaticResourcesWebConfiguration,0,86,0,0,0,13,0,7,0,7
TPB 3,com.mycompany.myapp.config,SecurityConfiguration,244,0,0,0,52,0,4,0,4,0
TPB 3,com.mycompany.myapp.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
TPB 3,com.mycompany.myapp.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
TPB 3,com.mycompany.myapp.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
TPB 3,com.mycompany.myapp.service.mapper,UserMapper,102,118,12,6,27,33,12,11,6,8
TPB 3,com.mycompany.myapp.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
TPB 3,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
TPB 3,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
TPB 3,com.mycompany.myapp.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,409,0,26,0,91,0,28,0,15,0
TPB 3,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.web.rest,AccountResource,204,0,24,0,55,0,24,0,12,0
TPB 3,com.mycompany.myapp.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
TPB 3,com.mycompany.myapp.web.rest,PublicUserResource,88,0,2,0,14,0,6,0,5,0
TPB 3,com.mycompany.myapp.web.rest,UserResource,269,0,16,0,47,0,16,0,8,0
TPB 3,com.mycompany.myapp.web.rest,UserJWTController,53,0,0,0,13,0,2,0,2,0
TPB 3,com.mycompany.myapp.web.rest,ClientForwardController,0,5,0,0,0,2,0,2,0,2
TPB 3,com.mycompany.myapp.web.rest,UserJWTController.JWTToken,13,0,0,0,6,0,3,0,3,0
TPB 3,com.mycompany.myapp.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
TPB 3,com.mycompany.myapp.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
TPB 3,com.mycompany.myapp.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
TPB 3,com.mycompany.myapp.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
TPB 3,com.mycompany.myapp.security,DomainUserDetailsService,103,0,4,0,24,0,9,0,7,0
TPB 3,com.mycompany.myapp.security,SecurityUtils,11,95,5,11,4,19,5,14,0,11
TPB 3,com.mycompany.myapp.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
